state,state_ID,suspected_cases,confirmed_cases,not_confirmed_cases,date
Bahia,BA,46,2,35,2020/03/10
Ceará,CE,22,0,42,2020/03/10
Distrito Federal,DF,59,1,24,2020/03/10
Espirito Santo,ES,1,1,12,2020/03/10
Goiás,GO,14,0,14,2020/03/10
Maranhão,MA,2,0,2,2020/03/10
Mato Grosso,MT,1,0,7,2020/03/10
Mato Grosso do Sul,MS,6,0,1,2020/03/10
Minas Gerais,MG,122,1,18,2020/03/10
Pará,PA,5,0,12,2020/03/10
Parába,PB,5,0,6,2020/03/10
Paraná,PR,33,0,20,2020/03/10
Pernambuco,PE,12,0,22,2020/03/10
Piauí,PI,1,0,2,2020/03/10
Rio de Janeiro,RJ,119,8,85,2020/03/10
Rio Grande do Norte,RN,15,0,13,2020/03/10
Rio Grande do Sul,RS,70,1,129,2020/03/10
Rondônia,RO,2,0,1,2020/03/10
Roraima,RR,0,0,0,2020/03/10
São Paulo,SP,302,19,289,2020/03/10
Santa Catarina,SC,42,0,28,2020/03/10
Sergipe,SE,2,0,3,2020/03/10
Tocantins,TO,0,0,0,2020/03/10
Acre,AC,,0,,2020/02/26
Alagoas,AL,,0,,2020/02/26
Amapá,AP,,0,,2020/02/26
Amazonas,AM,,0,,2020/02/26
Bahia,BA,,0,,2020/02/26
Ceará,CE,,0,,2020/02/26
Distrito Federal,DF,,0,,2020/02/26
Espirito Santo,ES,,0,,2020/02/26
Goiás,GO,,0,,2020/02/26
Maranhão,MA,,0,,2020/02/26
Mato Grosso,MT,,0,,2020/02/26
Mato Grosso do Sul,MS,,0,,2020/02/26
Minas Gerais,MG,,0,,2020/02/26
Pará,PA,,0,,2020/02/26
Parába,PB,,0,,2020/02/26
Paraná,PR,,0,,2020/02/26
Pernambuco,PE,,0,,2020/02/26
Piauí,PI,,0,,2020/02/26
Rio de Janeiro,RJ,,0,,2020/02/26
Rio Grande do Norte,RN,,0,,2020/02/26
Rio Grande do Sul,RS,,0,,2020/02/26
Rondônia,RO,,0,,2020/02/26
Roraima,RR,,0,,2020/02/26
São Paulo,SP,,1,,2020/02/26
Santa Catarina,SC,,0,,2020/02/26
Sergipe,SE,,0,,2020/02/26
Tocantins,TO,,0,,2020/02/26
Acre,AC,,0,,2020/03/4
Alagoas,AL,,0,,2020/03/4
Amapá,AP,,0,,2020/03/4
Amazonas,AM,,0,,2020/03/4
Bahia,BA,,0,,2020/03/4
Ceará,CE,,0,,2020/03/4
Distrito Federal,DF,,0,,2020/03/4
Espirito Santo,ES,,0,,2020/03/4
Goiás,GO,,0,,2020/03/4
Maranhão,MA,,0,,2020/03/4
Mato Grosso,MT,,0,,2020/03/4
Mato Grosso do Sul,MS,,0,,2020/03/4
Minas Gerais,MG,,0,,2020/03/4
Pará,PA,,0,,2020/03/4
Parába,PB,,0,,2020/03/4
Paraná,PR,,0,,2020/03/4
Pernambuco,PE,,0,,2020/03/4
Piauí,PI,,0,,2020/03/4
Rio de Janeiro,RJ,,0,,2020/03/4
Rio Grande do Norte,RN,,0,,2020/03/4
Rio Grande do Sul,RS,,0,,2020/03/4
Rondônia,RO,,0,,2020/03/4
Roraima,RR,,0,,2020/03/4
São Paulo,SP,,3,,2020/03/4
Santa Catarina,SC,,0,,2020/03/4
Sergipe,SE,,0,,2020/03/4
Tocantins,TO,,0,,2020/03/4
Acre,AC,,0,,2020/03/5
Alagoas,AL,,0,,2020/03/5
Amapá,AP,,0,,2020/03/5
Amazonas,AM,,0,,2020/03/5
Bahia,BA,,0,,2020/03/5
Ceará,CE,,0,,2020/03/5
Distrito Federal,DF,,0,,2020/03/5
Espirito Santo,ES,,1,,2020/03/5
Goiás,GO,,0,,2020/03/5
Maranhão,MA,,0,,2020/03/5
Mato Grosso,MT,,0,,2020/03/5
Mato Grosso do Sul,MS,,0,,2020/03/5
Minas Gerais,MG,,0,,2020/03/5
Pará,PA,,0,,2020/03/5
Parába,PB,,0,,2020/03/5
Paraná,PR,,0,,2020/03/5
